gene,gscore,druggable,A,B
EFR3A,0.149999999999999994,False,True,False
EGFR,0.864800000000000013,True,True,True
EID3,0.0749999999999999972,False,True,False
EIF5AL1,0.0749999999999999972,False,True,False
ELAC1,0.225000000000000006,False,True,True
ELAVL2,0.225000000000000006,False,True,False
EMC8,0,False,True,False
EMR1,0.0749999999999999972,False,True,False
ENOSF1,0.0749999999999999972,False,True,False
ENOX2,0.0749999999999999972,True,True,False
ENTPD4,0.149999999999999994,False,True,False
EPHA7,0.261699999999999988,True,True,True
EPHA8,0.345200000000000007,False,True,False
ERBB2,0.717999999999999972,True,True,True
ERBB3,0.569899999999999962,True,True,True
ERBB4,0.546900000000000053,True,True,False
ERLIN2,0.149999999999999994,False,True,True
ERMP1,0.149999999999999994,False,True,True
ESRP1,0.0749999999999999972,False,True,False
EXD3,0.149999999999999994,False,True,False
EXT1,0.25,False,True,True
EYA2,0.149999999999999994,False,True,False
EYS,0.149999999999999994,False,True,True
F8,0.0749999999999999972,True,True,False
FAM106A,0.0749999999999999972,False,True,False
FAM149B1,0.0749999999999999972,False,True,False
FAM153A,0.0749999999999999972,False,True,False
FAM189A1,0.149999999999999994,False,True,False
FAM21A,0.0749999999999999972,False,True,False
FAM66D,0.149999999999999994,False,True,False
FBXL20,0.149999999999999994,False,True,False
FBXO32,0.149999999999999994,False,True,False
FCGR2B,0.423899999999999999,True,True,True
FCRL4,0.174999999999999989,False,True,True
FFAR3,0.0749999999999999972,False,True,False
FGD2,0.0749999999999999972,False,True,False
FGFR1,0.582400000000000029,True,True,True
FGFR2,0.706799999999999984,True,True,True
FHIT,0.404899999999999982,True,True,False
FLJ23152,0,False,True,False
FLJ35282,0,False,True,False
FLT4,0.421999999999999986,True,True,False
FOCAD,0,False,True,True
FOXC2,0.149999999999999994,False,True,True
FOXK1,0.149999999999999994,False,True,False
FOXP1,0.552799999999999958,False,True,True
FRMPD2P1,0,False,True,False
FXR2,0.149999999999999994,False,True,False
GABRG1,0.310800000000000021,True,True,False
GABRQ,0.334799999999999986,True,True,False
GAK,0.365300000000000014,False,True,True
GALNT15,0,False,True,True
GALNTL6,0.0749999999999999972,False,True,False
GMDS,0.335699999999999998,True,True,True
GNAS,0.621999999999999997,True,True,True
GOLGA6L9,0.0749999999999999972,False,True,False
GOLGA8R,0,False,True,False
GPR112,0.180400000000000005,False,True,False
GPR124,0.149999999999999994,False,True,False
GREB1L,0.149999999999999994,False,True,False
GRIA3,0.0749999999999999972,True,True,False
GRID1,0.295099999999999973,True,True,True
GRK5,0.469600000000000017,False,True,False
GSDMA,0,False,True,False
GSDMB,0.149999999999999994,False,True,True
GSE1,0,False,True,True
GSTM1,0.149999999999999994,True,True,False
GSTT1,0.0749999999999999972,False,True,False
GSTT2B,0,False,True,True
GSTTP2,0.0749999999999999972,False,True,False
GTF2H2C,0.0749999999999999972,False,True,False
GTF2H2D,0,False,True,False
GUSBP3,0.0749999999999999972,False,True,False
HCG4B,0,False,True,False
HDX,0.0749999999999999972,False,True,False
HEATR4,0.149999999999999994,False,True,False
HEPH,0.375599999999999989,False,True,False
HERC2P2,0.149999999999999994,False,True,False
HEY1,0.174999999999999989,False,True,True
HHLA1,0.149999999999999994,False,True,False
HIF1A,0.449299999999999977,True,True,False
HIP1,0.25,False,True,True
HLA-G,0.0749999999999999972,False,True,True
HOXD11,0.520700000000000052,False,True,True
HRAS,0.585899999999999976,True,True,True
HSF2BP,0.149999999999999994,False,True,False
HSF5,0.0749999999999999972,False,True,True
HSPB7,0.149999999999999994,False,True,True
IFNK,0.149999999999999994,False,True,True
IFT74,0.0749999999999999972,False,True,False
IGLL5,0,False,True,False
IGSF1,0.0749999999999999972,False,True,True
IKZF3,0.411999999999999977,False,True,True
IL1RAPL2,0.149999999999999994,False,True,False
IPCEF1,0.149999999999999994,False,True,False
IRF2,0.225000000000000006,False,True,True
IRX4,0.225000000000000006,False,True,False
ISX,0.0749999999999999972,False,True,False
ITGA5,0.0749999999999999972,True,True,True
ITGA8,0.149999999999999994,False,True,False
JAK2,0.545100000000000029,True,True,True
JAK3,0.444199999999999984,True,True,True
JAKMIP3,0.149999999999999994,False,True,True
KANK1,0.149999999999999994,False,True,False
KAT6A,0.374900000000000011,False,True,True
KCTD9,0.149999999999999994,False,True,False
KDM4B,0.149999999999999994,False,True,False
KDM5A,0.174999999999999989,False,True,True
KDM6A,0.700799999999999979,False,True,False
KDR,0.48959999999999998,True,True,True
KEAP1,0.450000000000000011,True,True,False
KGFLP2,0,False,True,False
KHDRBS2,0.225000000000000006,False,True,True
KIAA1211,0.0749999999999999972,False,True,True
KIAA1217,0.149999999999999994,False,True,True
KIAA1244,0.149999999999999994,False,True,False
KIAA1429,0.149999999999999994,False,True,False
KIAA1462,0.0749999999999999972,False,True,False
KIAA2026,0.149999999999999994,False,True,False
KIF15,0.0749999999999999972,False,True,True
KIF17,0.149999999999999994,False,True,False
KIF1A,0.0749999999999999972,True,True,True
KIR2DL4,0.0749999999999999972,False,True,False
KIT,0.644000000000000017,True,True,True
KLHL34,0.149999999999999994,False,True,False
KLHL38,0.149999999999999994,False,True,True
KLHL9,0.149999999999999994,False,True,False
KLLN,0,False,True,True
KMT2A,0.100000000000000006,False,True,False
KRAS,0.732700000000000018,False,True,True
KRT3,0.149999999999999994,False,True,True
KRT85,0.0749999999999999972,False,True,True
